start station id,name,latitude,longitude,edge,group,groupdes
223,W 13 St & 7 Ave,40.73781509,-73.99994661,2,8,Midtown East - Midtown West
225,W 14 St & The High Line,40.74195138,-74.00803013,3,8,Midtown East - Midtown West
482,W 15 St & 7 Ave,40.73935542,-73.99931783,5,8,Midtown East - Midtown West
212,W 16 St & The High Line,40.74334935,-74.00681753,14,8,Midtown East - Midtown West
116,W 17 St & 8 Ave,40.74177603,-74.00149746,72,8,Midtown East - Midtown West
459,W 20 St & 11 Ave,40.746745,-74.007756,3,8,Midtown East - Midtown West
334,W 20 St & 7 Ave,40.74238787,-73.99726235,30,8,Midtown East - Midtown West
470,W 20 St & 8 Ave,40.74345335,-74.00004031,4,8,Midtown East - Midtown West
462,W 22 St & 10 Ave,40.74691959,-74.00451887,44,8,Midtown East - Midtown West
453,W 22 St & 8 Ave,40.74475148,-73.99915362,15,8,Midtown East - Midtown West
446,W 24 St & 7 Ave,40.74487634,-73.99529885,24,8,Midtown East - Midtown West
466,W 25 St & 6 Ave,40.74395411,-73.99144871,3,8,Midtown East - Midtown West
388,W 26 St & 10 Ave,40.74971775,-74.00295035,12,8,Midtown East - Midtown West
494,W 26 St & 8 Ave,40.74734825,-73.99723551,57,8,Midtown East - Midtown West
442,W 27 St & 7 Ave,40.746647,-73.993915,13,8,Midtown East - Midtown West
512,W 29 St & 9 Ave,40.7500727,-73.99839279,13,8,Midtown East - Midtown West
379,W 31 St & 7 Ave,40.749156,-73.9916,4,8,Midtown East - Midtown West
492,W 33 St & 7 Ave,40.75019995,-73.99093085,7,8,Midtown East - Midtown West
525,W 34 St & 11 Ave,40.75594159,-74.0021163,8,8,Midtown East - Midtown West
448,W 37 St & 10 Ave,40.75660359,-73.9979009,95,8,Midtown East - Midtown West
485,W 37 St & 5 Ave,40.75038009,-73.98338988,20,8,Midtown East - Midtown West
523,W 38 St & 8 Ave,40.75466591,-73.99138152,26,8,Midtown East - Midtown West
488,W 39 St & 9 Ave,40.75645824,-73.99372222,1,8,Midtown East - Midtown West
477,W 41 St & 8 Ave,40.75640548,-73.9900262,47,8,Midtown East - Midtown West
529,W 42 St & 8 Ave,40.7575699,-73.99098507,68,8,Midtown East - Midtown West
515,W 43 St & 10 Ave,40.76009437,-73.99461843,8,8,Midtown East - Midtown West
484,W 44 St & 5 Ave,40.75500254,-73.98014437,2,8,Midtown East - Midtown West
493,W 45 St & 6 Ave,40.7568001,-73.98291153,66,8,Midtown East - Midtown West
2021,W 45 St & 8 Ave,40.75929124,-73.98859651,72,8,Midtown East - Midtown West
508,W 46 St & 11 Ave,40.76341379,-73.99667444,5,8,Midtown East - Midtown West
495,W 47 St & 10 Ave,40.76269882,-73.99301222,40,8,Midtown East - Midtown West
